[ 7.19884, 111.598 ]
[ 6.89978, 111.92 ]
[ 6.60659, 112.25 ]
[ 6.31959, 112.589 ]
[ 6.03906, 112.938 ]
[ 5.76531, 113.295 ]
[ 5.49863, 113.661 ]
[ 5.23932, 114.036 ]
[ 4.98768, 114.421 ]
[ 4.744, 114.816 ]
[ 4.50858, 115.221 ]
[ 4.28172, 115.635 ]
[ 4.06371, 116.06 ]
[ 3.85485, 116.495 ]
[ 3.65544, 116.941 ]
[ 3.46577, 117.397 ]
[ 3.28615, 117.864 ]
[ 3.11686, 118.342 ]
[ 2.95822, 118.831 ]
[ 2.8105, 119.332 ]
[ 2.67401, 119.844 ]
[ 2.54906, 120.368 ]
[ 2.43592, 120.904 ]
[ 2.33491, 121.452 ]
[ 2.24631, 122.012 ]
[ 2.17043, 122.584 ]
[ 2.10756, 123.169 ]
[ 2.058, 123.766 ]
[ 2.02205, 124.377 ]
[ 2, 125 ]
[ 2, 145 ]
[ 1.98696, 145.297 ]
[ 1.98764, 145.586 ]
[ 2.00178, 145.87 ]
[ 2.02912, 146.148 ]
[ 2.06937, 146.42 ]
[ 2.12228, 146.687 ]
[ 2.18756, 146.949 ]
[ 2.26496, 147.207 ]
[ 2.35419, 147.46 ]
[ 2.455, 147.71 ]
[ 2.5671, 147.956 ]
[ 2.69024, 148.2 ]
[ 2.82413, 148.44 ]
[ 2.96852, 148.679 ]
[ 3.12312, 148.915 ]
[ 3.28768, 149.15 ]
[ 3.46191, 149.383 ]
[ 3.64556, 149.616 ]
[ 3.83834, 149.848 ]
[ 4.04, 150.08 ]
[ 4.25025, 150.312 ]
[ 4.46884, 150.545 ]
[ 4.69548, 150.779 ]
[ 4.92992, 151.013 ]
[ 5.17187, 151.25 ]
[ 5.42108, 151.489 ]
[ 5.67726, 151.729 ]
[ 5.94016, 151.973 ]
[ 6.20949, 152.22 ]
[ 6.485, 152.47 ]
[ 6.7664, 152.724 ]
[ 7.05344, 152.982 ]
[ 7.34583, 153.245 ]
[ 7.64332, 153.512 ]
[ 7.94562, 153.785 ]
[ 8.25248, 154.063 ]
[ 8.56361, 154.348 ]
[ 8.87876, 154.638 ]
[ 9.19764, 154.936 ]
[ 9.52, 155.24 ]
[ 9.84555, 155.552 ]
[ 10.174, 155.871 ]
[ 10.5052, 156.199 ]
[ 10.8387, 156.535 ]
[ 11.1744, 156.88 ]
[ 11.5119, 157.234 ]
[ 11.851, 157.598 ]
[ 12.1914, 157.972 ]
[ 12.5328, 158.355 ]
[ 12.875, 158.75 ]
[ 13.2177, 159.156 ]
[ 13.5606, 159.572 ]
[ 13.9035, 160.001 ]
[ 14.2461, 160.442 ]
[ 14.5881, 160.895 ]
[ 14.9293, 161.361 ]
[ 15.2693, 161.84 ]
[ 15.608, 162.333 ]
[ 15.9449, 162.839 ]
[ 16.28, 163.36 ]
[ 16.6129, 163.895 ]
[ 16.9432, 164.446 ]
[ 17.2709, 165.011 ]
[ 17.5955, 165.593 ]
[ 17.9169, 166.19 ]
[ 18.2347, 166.804 ]
[ 18.5487, 167.434 ]
[ 18.8586, 168.082 ]
[ 19.1641, 168.747 ]
[ 19.465, 169.43 ]
[ 19.761, 170.131 ]
[ 20.0518, 170.851 ]
[ 20.3372, 171.59 ]
[ 20.6169, 172.347 ]
[ 20.8906, 173.125 ]
[ 21.1581, 173.923 ]
[ 21.419, 174.74 ]
[ 21.6732, 175.579 ]
[ 21.9202, 176.439 ]
[ 22.16, 177.32 ]
[ 22.3922, 178.223 ]
[ 22.6164, 179.148 ]
[ 22.8326, 180.096 ]
[ 23.0403, 181.066 ]
[ 23.2394, 182.06 ]
[ 23.4295, 183.077 ]
[ 23.6104, 184.119 ]
[ 23.7818, 185.184 ]
[ 23.9434, 186.275 ]
[ 24.095, 187.39 ]
[ 24.2363, 188.531 ]
[ 24.367, 189.697 ]
[ 24.4869, 190.89 ]
[ 24.5957, 192.109 ]
[ 24.6931, 193.355 ]
[ 24.7789, 194.628 ]
[ 24.8527, 195.929 ]
[ 24.9144, 197.258 ]
[ 24.9635, 198.614 ]
[ 25, 200 ]
