[ 17.0964, 137.667 ]
[ 16.7558, 138.16 ]
[ 16.4126, 138.639 ]
[ 16.0669, 139.105 ]
[ 15.7191, 139.558 ]
[ 15.3695, 139.999 ]
[ 15.0183, 140.428 ]
[ 14.6659, 140.844 ]
[ 14.3125, 141.25 ]
[ 13.9585, 141.645 ]
[ 13.6041, 142.028 ]
[ 13.2497, 142.402 ]
[ 12.8955, 142.766 ]
[ 12.5418, 143.12 ]
[ 12.189, 143.465 ]
[ 11.8373, 143.801 ]
[ 11.487, 144.129 ]
[ 11.1385, 144.448 ]
[ 10.792, 144.76 ]
[ 10.4478, 145.064 ]
[ 10.1062, 145.362 ]
[ 9.76758, 145.652 ]
[ 9.43213, 145.937 ]
[ 9.10019, 146.215 ]
[ 8.77205, 146.488 ]
[ 8.44802, 146.755 ]
[ 8.12838, 147.018 ]
[ 7.81345, 147.276 ]
[ 7.5035, 147.53 ]
[ 7.19884, 147.78 ]
[ 6.89978, 148.027 ]
[ 6.60659, 148.271 ]
[ 6.31959, 148.511 ]
[ 6.03906, 148.75 ]
[ 5.76531, 148.987 ]
[ 5.49863, 149.221 ]
[ 5.23932, 149.455 ]
[ 4.98768, 149.688 ]
[ 4.744, 149.92 ]
[ 4.50858, 150.152 ]
[ 4.28172, 150.384 ]
[ 4.06371, 150.617 ]
[ 3.85485, 150.85 ]
[ 3.65544, 151.085 ]
[ 3.46577, 151.321 ]
[ 3.28615, 151.56 ]
[ 3.11686, 151.8 ]
[ 2.95822, 152.044 ]
[ 2.8105, 152.29 ]
[ 2.67401, 152.54 ]
[ 2.54906, 152.793 ]
[ 2.43592, 153.051 ]
[ 2.33491, 153.313 ]
[ 2.24631, 153.58 ]
[ 2.17043, 153.852 ]
[ 2.10756, 154.13 ]
[ 2.058, 154.414 ]
[ 2.02205, 154.703 ]
[ 2, 155 ]
[ 2, 175 ]
[ 1.98696, 175.623 ]
[ 1.98764, 176.234 ]
[ 2.00178, 176.831 ]
[ 2.02912, 177.416 ]
[ 2.06937, 177.989 ]
[ 2.12228, 178.548 ]
[ 2.18756, 179.096 ]
[ 2.26496, 179.632 ]
[ 2.35419, 180.156 ]
[ 2.455, 180.668 ]
[ 2.5671, 181.169 ]
[ 2.69024, 181.658 ]
[ 2.82413, 182.136 ]
[ 2.96852, 182.603 ]
[ 3.12312, 183.06 ]
[ 3.28768, 183.505 ]
